beer_id,category,brewery,country_iso_alpha_3,trained_label,abv,alcohol,aroma,Appearance,Flavor,Mouthfeel,Overall,rating
be000000000001,Pale Lager - International / Premium,Oriental Brewery (AB-InBev),KOR,cass_fresh_cold_brewed,4.5,4.5,4.53,3,4.33,2.4,8.73,1.95
be000000000007,Witbier / Belgian White Ale,Jeju Beer Company,KOR,jeju_baengnokdam_ale,4.3,4.3,6.18,2.73,6.27,2.64,12.64,3.14
be000000000009,Weissbier - Hefeweizen,Paulaner Brauerei,DEU,paulaner_weissbier,5.5,5.5,7.15,3.77,7.38,3.69,15.15,3.7
be000000000010,Pale Lager - International / Premium,HiteJinro,KOR,terra,4.6,4.6,3.79,2.93,3.86,2.5,7.64,2.36
be000000000013,Pale Lager - International / Premium,Asahi Group Holdings (Asahi),JPN,asahi_super_dry,5,5,5,3.25,5.17,3,11.5,2.4
be000000000015,Stout - Dry / Irish,St. James's Gate Brewery (Diageo Ireland),IRL,guinness_draught,4.2,4.2,6.33,4.17,6.42,3.5,14.08,3.56
be000000000016,Witbier / Belgian White Ale,Blue Moon Brewing Company (Molson Coors),USA,blue_moon_belgian_white,5.4,5.4,6.62,3.31,6.38,3.08,12.77,3.14
be000000000017,Pilsener / Pils / Pilsner,Brooklyn Brewery,USA,brooklyn_pilsner,5,5,6.15,3.23,6.08,2.92,12.54,3.13
be000000000018,Pale Lager - American,Anheuser-Busch InBev (AB InBev),USA,budweiser,5,5,4,2.77,4.15,2.54,9,1.77
be000000000020,Pale Lager - International / Premium,HiteJinro,KOR,filite_barley,4.5,4.5,4.18,2.55,4.45,2.64,9.73,2.32
be000000000022,Pale Ale - American (APA),ARK Korea Craft Brewery,KOR,gwanghwamun,5,5,5.71,3.36,6.21,3.14,12.43,3.09
be000000000023,ISA - Session IPA,Kabrew,KOR,gyeongbokgung_ale,4.5,4.5,7,3.27,6.64,2.91,13.27,3.24
be000000000025,Witbier / Belgian White Ale,Brouwerij Hoegaarden (AB InBev),BEL,hoegaarden,4.9,4.9,6.85,3.62,7.15,3.69,14.46,3.62
be000000000026,Witbier / Belgian White Ale,Jeju Beer Company,KOR,jeju_wit_ale,5.3,5.3,6.15,3.54,6.15,2.85,12.69,3.07
be000000000028,Pale Lager - International / Premium,Kirin Brewery Company (Kirin Holdings),JPN,kirin_ichiban,4.9,4.9,4.87,3.27,5.13,2.53,10.67,2.39
be000000000029,Blonde Ale / Golden Ale,Kona Brewing Company (Craft Brew Alliance - AB InBev),USA,kona_big_wave,4.4,4.4,5.79,3.21,5.93,3.21,11.43,3.18
be000000000030,Witbier / Belgian White Ale,Kronenbourg (Carlsberg),FRA,kronenbourg_1664_blanc,5,5,6.38,3.69,6.31,3.23,12.62,3.05
be000000000031,Pale Lager - International / Premium,Kronenbourg (Carlsberg),FRA,kronenbourg_1664_lager,5.5,5.5,4.29,3.21,4.64,2.93,9.86,2.41
be000000000032,Pale Lager - American,Molson Coors USA - Miller Brewing Company (Molson Coors),USA,miller_genuine_draft,4.7,4.7,3.57,2.5,3.36,1.93,7.36,1.86
be000000000033,Pale Lager - International / Premium,Birra Peroni (Asahi),ITA,peroni_nastro_azzurro,5.1,5.1,4.21,2.64,4.5,2.43,9,2.44
be000000000037,Pale Lager - International / Premium,Anheuser-Busch InBev Belgium (AB InBev),BEL,stella_artois,5,5,4.57,3.07,4.29,2.57,9.43,2.74
be000000000038,Pale Lager - International / Premium,Sapporo Breweries,JPN,yebisu,5,5,4.64,3.36,5,2.73,10.64,2.6
